block_name,question,case_study,option_a,option_b,option_c,option_d,correct_answer,explanation_a,explanation_b,explanation_c,explanation_d,difficulty,image_url
Biochemistry,What is the primary function of ATP in cells?,A 45-year-old with mitochondrial disorder,Storage of genetic information,Energy currency for cellular reactions,Production of proteins,Regulation of water balance,b,DNA stores genetic information,CORRECT - ATP provides energy for cells,Ribosomes produce proteins,Osmotic pressure regulates water,easy,atp_molecule
Biochemistry,Which enzyme catalyzes the breakdown of glucose in glycolysis?,A 52-year-old with type 2 diabetes,Lipase,Amylase,Hexokinase,Protease,c,Lipase breaks down fats,Amylase breaks down starch,CORRECT - Hexokinase catalyzes first glycolysis step,Protease breaks down proteins,medium,glycolysis_pathway
Biochemistry,What is the primary product of the Krebs cycle?,A 60-year-old with lactic acidosis,Glucose,ATP and electron carriers NADH and FADH2,Amino acids,Fatty acids,b,Glucose is starting material,CORRECT - Krebs cycle produces energy carriers,Krebs cycle does not produce amino acids,Krebs cycle does not produce fatty acids,hard,krebs_cycle
Biochemistry,Which vitamin is essential for collagen synthesis?,A 35-year-old with bleeding gums,Vitamin A,Vitamin B12,Vitamin C,Vitamin D,c,Essential for vision not collagen,Essential for nerve function,CORRECT - Vitamin C needed for collagen cross-linking,Essential for calcium absorption,medium,vitamin_c_scurvy
Biochemistry,What is the primary function of hemoglobin?,A 40-year-old with sickle cell anemia,Transport oxygen to tissues,Clot blood,Regulate pH,Produce antibodies,a,CORRECT - Hemoglobin carries oxygen,Platelets clot blood,Buffers regulate pH,Antibodies from immune cells,easy,hemoglobin_function
Pathology,What is the definition of necrosis?,A 55-year-old with myocardial infarction,Programmed cell death,Death of cells and tissues in living organism resulting in inflammation,Replication of cells,Loss of cell differentiation,b,That is apoptosis,CORRECT - Necrosis is pathological cell death,That is hyperplasia,That is dedifferentiation,easy,necrosis_infarction
Pathology,What is the difference between hyperplasia and hypertrophy?,A 45-year-old body builder with muscle growth,Both mean the same thing,Hyperplasia is increase in cell number hypertrophy is increase in cell size,Hypertrophy is decrease in cells,Hyperplasia affects organs hypertrophy affects tissues,b,They are distinct processes,CORRECT - These are different adaptive responses,Hypertrophy involves cell increase,Hyperplasia affects tissues,medium,hyperplasia_hypertrophy
Pathology,What is metaplasia?,A patient with Barrett esophagus,Replacement of one differentiated cell type with another,Movement of cancer cells to distant sites,Death of cells in living tissue,Return of cells to normal,a,CORRECT - Metaplasia is reversible cell transformation,That is metastasis,That is necrosis,That is healing,medium,metaplasia_barrett
Pathology,What are the hallmarks of malignancy in a tumor?,A 50-year-old with suspicious biopsy,Slow growth and well differentiation,Rapid growth poor differentiation invasion and metastasis,Encapsulation and slow growth,Inflammation and scarring,b,These are benign characteristics,CORRECT - Malignancies have these aggressive features,These are benign,These are inflammatory responses,hard,malignancy_features
Pathology,What is atherosclerosis characterized by?,A 60-year-old with coronary artery disease,Viral infection of arteries,Accumulation of lipid plaques in artery walls narrowing lumen,Spasm of smooth muscle,Inflammation of cardiac tissue,b,Atherosclerosis is not viral,CORRECT - Atherosclerosis is plaque buildup,That is vasospasm,That is myocarditis,medium,atherosclerosis_plaque
Microbiology,What is the primary difference between prokaryotes and eukaryotes?,A 40-year-old with bacterial infection,Prokaryotes are larger,Prokaryotes lack a nucleus and membrane-bound organelles,Both have nuclei,Eukaryotes are bacteria,b,Prokaryotes are smaller,CORRECT - Prokaryotes lack nuclear membrane,Both have this distinction,Bacteria are prokaryotes,easy,prokaryote_eukaryote
Microbiology,Which antibiotic inhibits bacterial cell wall synthesis?,A 35-year-old with streptococcal infection,Tetracycline,Penicillin,Aminoglycosides,Fluoroquinolones,b,Tetracycline inhibits protein synthesis,CORRECT - Penicillin inhibits cell wall synthesis,Aminoglycosides inhibit protein synthesis,Fluoroquinolones inhibit DNA synthesis,easy,penicillin_mechanism
Microbiology,What is the causative agent of tuberculosis?,A 45-year-old with persistent cough,Mycobacterium avium,Mycobacterium tuberculosis,Streptococcus pneumoniae,Corynebacterium diphtheriae,b,MAC causes different infection,CORRECT - TB is caused by M. tuberculosis,S. pneumoniae causes pneumonia,C. diphtheriae causes diphtheria,easy,tb_causative
Microbiology,Which organism causes most community-acquired pneumonia?,A 50-year-old with pneumonia,Pseudomonas aeruginosa,Streptococcus pneumoniae,Klebsiella pneumoniae,Staphylococcus aureus,b,Pseudomonas is nosocomial,CORRECT - S. pneumoniae is most common CAP,Klebsiella is gram-negative,Staph aureus is less common,medium,cap_organism
Microbiology,What is the role of the Gram stain in microbiology?,A microbiologist examining culture,DNA identification,Differentiation of bacteria into gram-positive and gram-negative based on cell wall composition,Viral identification,Fungal classification,b,PCR identifies DNA,CORRECT - Gram stain categorizes bacteria,Staining does not identify viruses,Staining works for bacteria not fungi,easy,gram_stain_purpose
Pharmacology,What is the mechanism of action of beta-blockers?,A 52-year-old with hypertension,Increase heart rate,Decrease heart rate and contractility by blocking beta-adrenergic receptors,Relax blood vessel walls,Block calcium channels,b,That is alpha-antagonist effect,CORRECT - Beta-blockers decrease cardiac output,That is vasodilator mechanism,That is calcium channel blocker,medium,beta_blocker_moa
Pharmacology,Which drug class is first-line treatment for hypertension?,A 55-year-old with stage 1 hypertension,Only diuretics,ACE inhibitors ARBs calcium channel blockers and thiazides,Only beta-blockers,Only alpha-blockers,b,Diuretics are one option,CORRECT - Multiple drug classes recommended,Beta-blockers are not first-line,Alpha-blockers are rarely first-line,medium,hypertension_firstline
Pharmacology,What is the mechanism of action of ACE inhibitors?,A 48-year-old with heart failure,Increase angiotensin II,Inhibit ACE enzyme preventing angiotensin II formation and causing vasodilation,Block aldosterone,Increase sodium reabsorption,b,ACE inhibitors reduce not increase,CORRECT - ACE inhibitors decrease angiotensin II,Aldosterone antagonists block aldosterone,That increases sodium retention,easy,ace_inhibitor_moa
Pharmacology,Which antibiotic is contraindicated in pregnancy?,A 30-year-old pregnant woman with infection,Penicillin,Tetracycline,Amoxicillin,Cephalosporin,b,Penicillins are safe in pregnancy,CORRECT - Tetracyclines cause fetal harm,Amoxicillin is safe,Cephalosporins are safe,medium,pregnancy_antibiotics
Pharmacology,What is the primary adverse effect of NSAIDs?,A 65-year-old with chronic arthritis,Liver toxicity,Gastrointestinal ulceration and renal dysfunction,Hyperkalemia,Hypertension only,b,Liver toxicity is rare,CORRECT - GI and renal effects are major concerns,NSAIDs cause hyperkalemia,NSAIDs lower BP,hard,nsaid_adverse_effects
Community Medicine,What is the primary goal of epidemiology?,A public health official investigating outbreak,Treat individual patients,Identify causes of disease distribution and prevent disease in populations,Perform surgeries,Prescribe medications,b,That is clinical medicine,CORRECT - Epidemiology focuses on population health,Surgery is not epidemiology,That is clinical pharmacology,easy,epidemiology_goal
Community Medicine,What is the concept of herd immunity?,A 40-year-old considering vaccination,Individual protection only,A threshold of population immunity that prevents disease spread even in unvaccinated,Immunity from hearing about disease,Lifelong individual immunity,b,That is individual immunity,CORRECT - Herd immunity protects entire community,That is not a real concept,That is vaccine immunity,medium,herd_immunity
Community Medicine,Which vaccination is part of routine immunization in childhood?,A 28-year-old planning pregnancy,Influenza vaccine only,BCG DPT polio measles and others per schedule,Only tetanus vaccine,Hepatitis B at birth only,b,Influenza is seasonal,CORRECT - These are core routine vaccines,Multiple vaccines are essential,Multiple vaccines are given,medium,childhood_vaccination
Community Medicine,What is the incidence of a disease?,A epidemiologist studying new cases,The number of people with disease at given time,The number of new cases of disease in specified time period,The death rate from disease,The percentage cured,b,That is prevalence,CORRECT - Incidence measures new cases,That is mortality rate,That is cure rate,medium,disease_incidence
Community Medicine,How is health defined by the WHO?,A healthcare administrator,Absence of disease only,A state of complete physical mental and social well-being not merely absence of disease,Ability to work,Strength and fitness,b,Incomplete definition,CORRECT - WHO has holistic definition,That is incomplete,That is partial aspect,easy,who_health_definition
